species,num,location
Hampea appendiculata,2,p9
Heisteria acuminata,9,p9
Heisteria concinna,66,p9
Herrania nycterodendron,2,p9
Hirtella americana,1,p9
Hirtella triandra,2,p9
Humiriastrum diguense,2,p9
Hymenolobium mesoamericanum,1,p9
Inga cocleensis,3,p9
Inga laurina,1,p9
Inga pezizifera,5,p9
Inga sertulifera,1,p9
Inga thibaudiana,2,p9
Jacaranda copaia,4,p9
Jacaratia spinosa,1,p9
Lacistema aggregatum,4,p9
Lacmellea panamensis,2,p9
Laetia procera,1,p9
Laetia thamnia,7,p9
Licania hypoleuca,20,p9
Lonchocarpus heptaphyllus,11,p9
Lozania pittieri,1,p9
Mabea occidentalis,7,p9
Maquira guianensis,8,p9
Maranthes panamensis,24,p9
Marila laxiflora,1,p9
Matayba apetala,7,p9
Maytenus schippii,1,p9
Miconia simplex,1,p9
Mollinedia darienensis,1,p9
Mosquitoxylum jamaicense,21,p9
Myrciaria sp.2,1,p9
Nectandra cissiflora,2,p9
Nectandra cuspidata,1,p9
Nectandra purpurea,9,p9
Neea amplifolia,1,p9
Neea delicatula,10,p9
Ocotea dendrodaphne,7,p9
Ocotea oblonga,1,p9
Ocotea puberula,4,p9
Ocotea whitei,10,p9
Oenocarpus mapora,187,p9
Oxandra longipetala,72,p9
Pachira sessilis,8,p9
Palicourea guianensis,3,p9
Pentagonia macrophylla,7,p9
Pera arborea,4,p9
Perebea xanthochyma,14,p9
Piper aequale,1,p9
Piper augustum,2,p9
Piper colonense,1,p9
Piper cordulatum,1,p9
Piper sp.6,1,p9
Poulsenia armata,8,p9
Pourouma bicolor,25,p9
Pouteria campechiana,8,p9
Pouteria reticulata,1,p9
Pouteria torta,9,p9
Protium panamense,27,p9
Protium tenuifolium,3,p9
Pseudobombax septenatum,1,p9
Pseudolmedia spuria,7,p9
Psychotria calophylla,2,p9
Psychotria grandis,3,p9
Pterocarpus rohrii,2,p9
Quassia amara,2,p9
Sapium broadleaf,2,p9
Schefflera morototoni,2,p9
Simarouba amara,7,p9
Sloanea terniflora,1,p9
Socratea exorrhiza,90,p9
Solanum hayesii,1,p9
Sorocea affinis,26,p9
Swartzia simplex,6,p9
Symphonia globulifera,3,p9
Synechanthus warscewiczianus,81,p9
Tabebuia guayacan,3,p9
Tachigali versicolor,22,p9
Talisia nervosa,14,p9
Tapirira guianensis,56,p9
Terminalia amazonia,1,p9
Tetragastris panamensis,16,p9
Tocoyena pittieri,1,p9
Tovomita stylosa,11,p9
Trattinnickia aspera,11,p9
Trichospermum galeottii,11,p9
Turpinia occidentalis,2,p9
Unidentified sp.4,3,p9
Unidentified sp.5,2,p9
Unonopsis sp.1,8,p9
Vantanea depleta,10,p9
Vatairea erythrocarpa,4,p9
Virola multiflora,32,p9
Virola sebifera,39,p9
Virola surinamensis,5,p9
Vismia baccifera,1,p9
Vochysia ferruginea,1,p9
Welfia regia,8,p9
Xylopia frutescens,3,p9
Xylopia macrantha,17,p9
Zanthoxylum acuminatum,1,p9
Zanthoxylum ekmanii,1,p9
Zanthoxylum panamense,1,p9
Abarema barbouriana,11,p6
Aegiphila panamensis,1,p6
Alibertia edulis,2,p6
Alseis blackiana,30,p6
Amaioua corymbosa,2,p6
Andira inermis,6,p6
Annona hayesii,1,p6
Annona spraguei,1,p6
Aspidosperma spruceanum,2,p6
Astrocaryum standleyanum,11,p6
Astronium graveolens,1,p6
Attalea butyracea,1,p6
Bactris barronis,3,p6
Bactris coloniata,1,p6
Bactris coloradonis,2,p6
Bactris panamensis,2,p6
Brosimum guianense,3,p6
Byrsonima crassifolia,3,p6
Calycolpus warszewiczianus,1,p6
Casearia arborea,7,p6
Casearia commersoniana,15,p6
Casearia sylvestris,13,p6
Celtis schippii,1,p6
Chrysochlamys eclipes,5,p6
Chrysophyllum cainito,1,p6
Coccoloba manzinellensis,14,p6
Cordia bicolor,13,p6
Couratari guianensis,1,p6
Crossopetalum parviflorum,1,p6
Croton billbergianus,1,p6
Cupania rufescens,7,p6
Cupania scrobiculata,32,p6
Cupania seemannii,50,p6
Enterolobium schomburgkii,5,p6
Erythroxylum citrifolium,1,p6
Erythroxylum macrophyllum,20,p6
Eugenia oerstediana,1,p6
Eugenia sp.6,2,p6
Faramea occidentalis,1,p6
Ficus maxima,1,p6
Guarea glabra,2,p6
Guatteria amplifolia,10,p6
Guatteria dumetorum,8,p6
Hasseltia floribunda,1,p6
Heisteria acuminata,1,p6
Heisteria concinna,8,p6
Henriettea succosa,12,p6
Henriettella fascicularis,9,p6
Hieronyma alchorneoides,8,p6
Hirtella americana,21,p6
Hirtella triandra,18,p6
Hybanthus prunifolius,1,p6
Inga cocleensis,8,p6
Inga laurina,1,p6
Inga pezizifera,24,p6
Inga sertulifera,2,p6
Jacaranda copaia,20,p6
Lacistema aggregatum,17,p6
Laetia procera,2,p6
Laetia thamnia,3,p6
Licania hypoleuca,1,p6
Lindackeria laurina,166,p6
Lonchocarpus heptaphyllus,2,p6
Lozania pittieri,1,p6
Luehea seemannii,3,p6
Maquira guianensis,2,p6
Matayba apetala,3,p6
Miconia affinis,4,p6
Miconia argentea,7,p6
Miconia elata,2,p6
Miconia poeppigii,14,p6
Mosquitoxylum jamaicense,1,p6
Myrcia gatunensis,39,p6
Myrcia splendens,26,p6
Myrciaria floribunda,2,p6
Myrciaria sp.2,1,p6
Nectandra purpurea,17,p6
Neea delicatula,7,p6
Ocotea cernua,1,p6
Ocotea puberula,2,p6
Oenocarpus mapora,474,p6
Ormosia coccinea,5,p6
Ormosia macrocalyx,1,p6
Oxandra longipetala,2,p6
Pachira sessilis,6,p6
Pentagonia macrophylla,2,p6
Perebea xanthochyma,4,p6
Piper arboreum,1,p6
Piper cordulatum,1,p6
Platypodium elegans,4,p6
Poulsenia armata,5,p6
Pourouma bicolor,8,p6
Protium costaricense,7,p6
Protium panamense,38,p6
Protium tenuifolium,6,p6
Pseudobombax septenatum,1,p6
Pseudolmedia spuria,1,p6
Psychotria marginata,2,p6
Quassia amara,52,p6
Rinorea sylvatica,16,p6
Ryania speciosa,32,p6
Schefflera morototoni,3,p6
Senna dariensis,1,p6
Simarouba amara,7,p6
Sloanea terniflora,1,p6
Sorocea affinis,33,p6
Stylogyne turbacensis,1,p6
Swartzia simplex,10,p6
Tabebuia guayacan,10,p6
Tabebuia rosea,1,p6
Tachigali versicolor,9,p6
Tapirira guianensis,34,p6
Terminalia amazonia,31,p6
Tetragastris panamensis,10,p6
Tetrathylacium johansenii,1,p6
Tocoyena pittieri,1,p6
Tovomita longifolia,1,p6
Tovomita stylosa,3,p6
Trattinnickia aspera,2,p6
Trichilia tuberculata,4,p6
Vatairea erythrocarpa,4,p6
