Species Name,Abundances,Site,Year
Turpinia occidentalis,3,Luqillo,1995
Urera baccifera,337,Luqillo,1995
Vitex divaricata,1,Luqillo,1995
Wallenia pendula,4,Luqillo,1995
Xylosma schwaneckeanum,1,Luqillo,1995
Zanthoxylum martinicense,39,Luqillo,1995
Acalypha platyphylla,1,La Planada,1997
Acalypha sp_1,8,La Planada,1997
Aegiphila novogranatensis,46,La Planada,1997
Aiphanes erinacea,3286,La Planada,1997
Alchornea coelophylla,356,La Planada,1997
Alchornea sp_1,95,La Planada,1997
Alchornea triplinervia,2030,La Planada,1997
Allophylus excelsus,228,La Planada,1997
Alloplectus schultzei,336,La Planada,1997
Alsophila engelii,179,La Planada,1997
Alsophila erinacea,120,La Planada,1997
Aniba megaphylla,81,La Planada,1997
Aniba parviflora,254,La Planada,1997
Aniba puchury-minor,249,La Planada,1997
Aniba sp_3,5,La Planada,1997
Axinaea sodiroi,12,La Planada,1997
Banara guianensis,95,La Planada,1997
Bathysa obovata,726,La Planada,1997
Beilschmiedia alloiophylla,1384,La Planada,1997
Besleria solanoides,1281,La Planada,1997
Besleria sp_1,10,La Planada,1997
Billia rosea,1697,La Planada,1997
Blakea eriocalyx,102,La Planada,1997
Blakea punctulata,4,La Planada,1997
Blakea sp_1,39,La Planada,1997
Boehmeria caudata,3,La Planada,1997
Brugmansia candida,4,La Planada,1997
Brunellia sp_1,16,La Planada,1997
Bunchosia sp_1,7,La Planada,1997
Calatola costaricensis,1390,La Planada,1997
Carapa guianensis,1081,La Planada,1997
Carica microcarpa,33,La Planada,1997
Casearia zahlbruckneri,153,La Planada,1997
Cecropia angustifolia,27,La Planada,1997
Cecropia bullata,67,La Planada,1997
Cecropia monostachya,692,La Planada,1997
Cedrela montana,4,La Planada,1997
Cedrelinga sp_1,78,La Planada,1997
Centronia ruizii,433,La Planada,1997
Cestrum megalophyllum,227,La Planada,1997
Cestrum ochraceum,168,La Planada,1997
Cestrum sp_3,12,La Planada,1997
Chamaedorea linearis,33,La Planada,1997
Chamaedorea pinnatifrons,865,La Planada,1997
Chrysochlamys sp_1,134,La Planada,1997
Cinchona asperifolia,1,La Planada,1997
Cinnamomum triplinerve,1,La Planada,1997
Clavija laplanadae,48,La Planada,1997
Clethra fagifolia,3,La Planada,1997
Clusia sp_1,412,La Planada,1997
Conostegia apiculata,1176,La Planada,1997
Cordia cylindrostachya,286,La Planada,1997
Cordia cymosa,13,La Planada,1997
Couepia platycalyx,236,La Planada,1997
Coussapoa parviceps,1,La Planada,1997
Critoniopsis occidentalis,446,La Planada,1997
Cupania sp_1,101,La Planada,1997
Cyathea caracasana,1102,La Planada,1997
Cyathea halonata,42,La Planada,1997
Cyathea planadae,4939,La Planada,1997
Cyathea sp_10,3,La Planada,1997
Cyathea sp_5,62,La Planada,1997
Cyathea ulei,154,La Planada,1997
Cybianthus sprucei,474,La Planada,1997
Cyphomandra hartwegii,35,La Planada,1997
Dacryodes sp_1,1,La Planada,1997
Daphnopsis anomala,80,La Planada,1997
Dendropanax macrocarpus,4,La Planada,1997
Dendrophorbium chingualense,3,La Planada,1997
Deprea sp_1,3,La Planada,1997
Dicksonia sellowiana,167,La Planada,1997
Dussia lehmannii,647,La Planada,1997
Elaeagia sp_2,1,La Planada,1997
Elaeagia utilis,4254,La Planada,1997
Erato vulcanica,2,La Planada,1997
Erythrina sp_1,15,La Planada,1997
Eschweilera caudiculata,1260,La Planada,1997
Eugenia anastomosans,1079,La Planada,1997
Eugenia sp_2,294,La Planada,1997
Faramea calyptrata,1724,La Planada,1997
Faramea coffeoides,17196,La Planada,1997
Faramea oblongifolia,2369,La Planada,1997
Faramea sp_4,214,La Planada,1997
Faramea sp_5,1053,La Planada,1997
Ficus andicola,421,La Planada,1997
Ficus apollinaris,31,La Planada,1997
Ficus caldasiana,4,La Planada,1997
Ficus cervantesiana,135,La Planada,1997
Ficus cuatrecasana,10,La Planada,1997
Ficus sp_1,298,La Planada,1997
Ficus sp_5,35,La Planada,1997
Ficus sp_8,1,La Planada,1997
Ficus subandina,19,La Planada,1997
Ficus tonduzii,13,La Planada,1997
Freziera sp_1,1,La Planada,1997
Fuchsia macrostigma,16,La Planada,1997
Garcinia intermedia,1,La Planada,1997
Gasteranthus sp_1,2,La Planada,1997
Geissanthus bogotensis,10,La Planada,1997
Geissanthus occidentalis,346,La Planada,1997
Geonoma undata,959,La Planada,1997
Gonzalagunia sp_1,1,La Planada,1997
Graffenrieda cucullata,12,La Planada,1997
Guarea glabra,161,La Planada,1997
Guatteria chocoensis,645,La Planada,1997
Guettarda crispiflora,2,La Planada,1997
Gymnosporia gentryi,132,La Planada,1997
Henriettea ramiflora,1318,La Planada,1997
Hillia macrophylla,1,La Planada,1997
Hyeronima oblonga,2394,La Planada,1997
Ilex yurumanguinis,73,La Planada,1997
Indefinido sp_17,11,La Planada,1997
Inga multicaulis,5,La Planada,1997
Inga ruiziana,1961,La Planada,1997
Inga sp_1,923,La Planada,1997
Inga sp_4,1079,La Planada,1997
Inga villosissima,183,La Planada,1997
Ladenbergia macrocarpa,224,La Planada,1997
Laetia procera,20,La Planada,1997
Leandra sp_1,9,La Planada,1997
Licania veneralensis,399,La Planada,1997
Lozania mutisiana,7,La Planada,1997
Macrocarpaea sp_1,1,La Planada,1997
Macrolobium colombianum,1733,La Planada,1997
Markea pilosa,5,La Planada,1997
Matayba sp_1,8,La Planada,1997
Matisia bolivarii,1710,La Planada,1997
Meliosma sp_1,46,La Planada,1997
Meliosma sp_2,10,La Planada,1997
Meriania hexamera,11,La Planada,1997
Meriania maxima,484,La Planada,1997
Meriania sp_1,7,La Planada,1997
Meriania tomentosa,1145,La Planada,1997
Miconia affinis,658,La Planada,1997
Miconia bella,663,La Planada,1997
Miconia laetivirens,231,La Planada,1997
Miconia lonchophylla,77,La Planada,1997
Miconia longifolia,1064,La Planada,1997
Miconia minutiflora,738,La Planada,1997
Miconia sp_10,8,La Planada,1997
Miconia sp_5,907,La Planada,1997
Miconia sp_8,375,La Planada,1997
Miconia theaezans,131,La Planada,1997
Morus insignis,156,La Planada,1997
Myrcia fallax,1354,La Planada,1997
Myrcia mollis,169,La Planada,1997
Myrcia multiflora,149,La Planada,1997
Myrcia sp_3,11,La Planada,1997
Myrcianthes rhopaloides,57,La Planada,1997
Naucleopsis naga,698,La Planada,1997
Nectandra lineata,76,La Planada,1997
Nectandra sp_1,22,La Planada,1997
Ocotea camphoromoea,187,La Planada,1997
Ocotea floccifera,2244,La Planada,1997
Ocotea hirtostyla,254,La Planada,1997
Ocotea karsteniana,3,La Planada,1997
Ocotea sp_2,368,La Planada,1997
Ocotea sp_3,256,La Planada,1997
Ocotea sp_4,332,La Planada,1997
Ocotea sp_5,181,La Planada,1997
Ocotea sp_7,14,La Planada,1997
Oreopanax confusus,9,La Planada,1997
Oreopanax sp_1,38,La Planada,1997
Ossaea sp_2,119,La Planada,1997
Ossaea sp_3,7,La Planada,1997
Otoba lehmannii,1981,La Planada,1997
Pachira patinoi,96,La Planada,1997
Palicourea demissa,84,La Planada,1997
Palicourea garciae,46,La Planada,1997
Palicourea gibbosa,7077,La Planada,1997
Palicourea pyramidalis,1,La Planada,1997
Palicourea sp_1,10,La Planada,1997
Palicourea sp_4,21,La Planada,1997
Palicourea sp_5,1,La Planada,1997
Palicourea standleyana,881,La Planada,1997
Palicourea stipularis,2126,La Planada,1997
Palicourea tamaensis,17,La Planada,1997
Panopsis suaveolens,29,La Planada,1997
Passiflora sp_1,19,La Planada,1997
Piper dichroostachyum,1,La Planada,1997
Piper imperialis,154,La Planada,1997
Piper longispicum,105,La Planada,1997
Piper sp_1,290,La Planada,1997
Piper sp_4,69,La Planada,1997
Piper sp_5,2,La Planada,1997
Pleurothyrium sp_1,33,La Planada,1997
Podandrogyne sp_1,6,La Planada,1997
Posoqueria coriacea,64,La Planada,1997
Pourouma bicolor,732,La Planada,1997
Pouteria sp_1,30,La Planada,1997
Prestoea acuminata,4352,La Planada,1997
Protium sp_1,1,La Planada,1997
Prunus recurviflora,180,La Planada,1997
Psammisia caloneura,3,La Planada,1997
Psammisia urichiana,1,La Planada,1997
Psidium ooideum,193,La Planada,1997
Psychotria allenii,972,La Planada,1997
Psychotria aubletiana,38,La Planada,1997
Psychotria rufiramea,29,La Planada,1997
Psychotria saltatrix,24,La Planada,1997
Psychotria sp_1,11,La Planada,1997
Psychotria sylvivaga,280,La Planada,1997
Rhodostemonodaphne sp_2,82,La Planada,1997
Rondeletia reflexa,42,La Planada,1997
Roupala obovata,1,La Planada,1997
Ruagea glabra,88,La Planada,1997
Salacia gigantea,855,La Planada,1997
Sapium laurifolium,3,La Planada,1997
Sapium stylare,96,La Planada,1997
Saurauia micayensis,80,La Planada,1997
Saurauia parviflora,1096,La Planada,1997
Saurauia sp_3,4,La Planada,1997
Schefflera lasiogyne,555,La Planada,1997
Schefflera sphaerocoma,11,La Planada,1997
Schefflera sp_2,190,La Planada,1997
Siparuna sp_2,13,La Planada,1997
Siparuna subscandens,733,La Planada,1997
Sloanea sp_1,129,La Planada,1997
Solanum deflexiflorum,62,La Planada,1997
Solanum lepidotum,85,La Planada,1997
Solanum nudum,104,La Planada,1997
Solanum sp_4,2,La Planada,1997
Spirotheca rhodostyla,45,La Planada,1997
Stephanopodium angulatum,489,La Planada,1997
Styrax guyanensis,90,La Planada,1997
Symplocos hiemalis,88,La Planada,1997
Tabernaemontana panamensis,109,La Planada,1997
Tetrorchidium macrophyllum,12,La Planada,1997
Topobea pittieri,43,La Planada,1997
Tournefortia gigantifolia,27,La Planada,1997
Trema macrophylla,3,La Planada,1997
Trichilia sp_1,509,La Planada,1997
Turpinia occidentalis,5,La Planada,1997
Unidentified Unidentified,817,La Planada,1997
Verbesina nudipes,1,La Planada,1997
Vismia mandurr,2,La Planada,1997
Vismia sp_1,289,La Planada,1997
Weinmannia sp_1,31,La Planada,1997
Weinmannia tomentosa,1,La Planada,1997
Wettinia kalbreyeri,18,La Planada,1997
Xanthosoma sp_1,63,La Planada,1997
